Product Name,Category,Price,Description,Stock
Blue Dream,Flower,$45,Hybrid strain with sweet berry aroma,In Stock
OG Kush,Flower,$50,Classic indica-dominant strain,In Stock
Sour Diesel,Flower,$48,Energizing sativa strain,Low Stock
Gelato,Flower,$55,Dessert-like hybrid strain,In Stock
Purple Haze,Flower,$52,Legendary sativa strain,In Stock
Granddaddy Purple,Flower,$53,Indica strain with grape flavor,In Stock
Jack Herer,Flower,$49,Sativa-dominant with pine aroma,In Stock
Northern Lights,Flower,$47,Pure indica strain,In Stock
White Widow,Flower,$51,Classic hybrid,In Stock
AK-47,Flower,$54,Powerful hybrid,Low Stock
THC Gummies,Edibles,$20,Assorted fruit flavors,In Stock
Chocolate Bar,Edibles,$15,Milk chocolate infused,In Stock
Cannabis Cookies,Edibles,$18,Chocolate chip cookies,In Stock
Edible Brownies,Edibles,$22,Fudgy chocolate brownies,In Stock
THC Lollipops,Edibles,$12,Variety pack,In Stock
Cannabis Tea,Edibles,$10,Herbal tea blend,In Stock
Infused Honey,Edibles,$25,Pure honey with THC,In Stock
Edible Gummies - Sour,Edibles,$20,Sour candy gummies,In Stock
Cannabis Oil Capsules,Edibles,$30,100mg each,In Stock
Edible Cake Pops,Edibles,$15,Vanilla cake pops,In Stock
Glass Pipe,Accessories,$25,Classic smoking pipe,In Stock
Grinder,Accessories,$15,4-piece herb grinder,In Stock
Rolling Papers,Accessories,$5,Pack of 50,In Stock
Bong,Accessories,$40,Glass water pipe,In Stock
Vaporizer Pen,Accessories,$50,Portable vape device,In Stock
Storage Jar,Accessories,$10,Air-tight container,In Stock
Pipe Screen,Accessories,$3,Pack of 10,In Stock
Lighter,Accessories,$8,Butane lighter,In Stock
Ashtray,Accessories,$12,Ceramic ashtray,In Stock
Scale,Accessories,$20,Digital weighing scale,In Stock
